ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_EN,ADM2_TYPE,PROV_CODE,OLD_PROVIN,PROV_TYPE,NOTES,SOURCE,_sum,_mean
MG,Madagascar,MG31,Atsinanana,Region,MG31311,Antanambao Manampontsy,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,53122.5933694839,33.0981890152548
MG,Madagascar,MG32,Analanjirofo,Region,MG32302,Sainte Marie,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,51662.4463539124,226.589676990844
MG,Madagascar,MG32,Analanjirofo,Region,MG32303,Maroantsetra,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,306863.106318474,36.3237578501981
MG,Madagascar,MG32,Analanjirofo,Region,MG32304,Mananara-Avaratra,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,315533.869883537,57.7372131534378
MG,Madagascar,MG32,Analanjirofo,Region,MG32305,Fenerive Est,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,408968.90828228,111.709617121628
MG,Madagascar,MG32,Analanjirofo,Region,MG32315,Vavatenina,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,185812.063135147,56.753837243478
MG,Madagascar,MG32,Analanjirofo,Region,MG32318,Soanierana Ivongo,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,195564.424191952,36.732611606302
MG,Madagascar,MG33,Alaotra Mangoro,Region,MG33312,Amparafaravola,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,393078.426480293,70.812182756313
MG,Madagascar,MG33,Alaotra Mangoro,Region,MG33313,Ambatondrazaka,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,436232.080748081,64.7612946478743
MG,Madagascar,MG33,Alaotra Mangoro,Region,MG33314,Moramanga,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,344093.824996829,39.0306062836694
MG,Madagascar,MG33,Alaotra Mangoro,Region,MG33316,Andilamena,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,162590.371356249,17.3189573238441
MG,Madagascar,MG33,Alaotra Mangoro,Region,MG33317,Anosibe-An'ala,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,82409.6723709106,23.2401783335901
MG,Madagascar,MG41,Boeny,Region,MG41401,Mahajanga I,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,108898.212600708,1785.21660001161
MG,Madagascar,MG41,Boeny,Region,MG41403,Soalala,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,123810.082498848,13.1628835316658
MG,Madagascar,MG41,Boeny,Region,MG41405,Ambato Boeni,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,476355.935791731,45.812265415631
MG,Madagascar,MG41,Boeny,Region,MG41406,Marovoay,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,289175.592788629,42.3514342104026
MG,Madagascar,MG41,Boeny,Region,MG41407,Mitsinjo,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,61771.435149679,11.3155221010586
MG,Madagascar,MG41,Boeny,Region,MG41415,Mahajanga II,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,397134.537314065,70.0166673684882
MG,Madagascar,MG42,Sofia,Region,MG42409,Port-Berge (Boriziny-Vaovao),District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,424010.014110327,49.4126575119831
MG,Madagascar,MG42,Sofia,Region,MG42410,Mandritsara,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,340999.90267992,27.2472954598418
MG,Madagascar,MG42,Sofia,Region,MG42411,Analalava,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,239823.578894496,22.9035984045933
MG,Madagascar,MG42,Sofia,Region,MG42412,Befandriana Nord,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,346681.879740477,32.839052736618
MG,Madagascar,MG42,Sofia,Region,MG42413,Antsohihy,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,179096.266456604,31.0123405119661
MG,Madagascar,MG42,Sofia,Region,MG42414,Bealanana,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,217888.968496323,26.4043829976154
MG,Madagascar,MG42,Sofia,Region,MG42423,Mampikony,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,236938.742003083,42.6225475810547
MG,Madagascar,MG43,Betsiboka,Region,MG43404,Maevatanana,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,210975.276580289,16.0449674180766
MG,Madagascar,MG43,Betsiboka,Region,MG43408,Tsaratanana,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,151627.401211381,10.2105994081738
MG,Madagascar,MG43,Betsiboka,Region,MG43416,Kandreho,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,64604.9689335823,8.64511828363205
MG,Madagascar,MG44,Melaky,Region,MG44402,Besalampy,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,157136.905677628,10.8020145512908
MG,Madagascar,MG44,Melaky,Region,MG44417,Ambatomainty,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,46311.8253726363,7.96968256283537
MG,Madagascar,MG44,Melaky,Region,MG44420,Antsalova,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,126070.110949695,14.9319093864379
MG,Madagascar,MG44,Melaky,Region,MG44421,Maintirano,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,259420.760618016,21.4184908039974
MG,Madagascar,MG44,Melaky,Region,MG44422,Morafenobe,District,"4",Mahajanga,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,35829.9659617543,3.93087942531589
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51501,Toliary-I,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,39707.0137939453,992.675344848633
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51503,Beroroha,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,52224.1002827287,5.68209120691205
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51504,Morombe,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,154001.579142928,16.0669357478277
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51505,Ankazoabo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,95761.4058998823,10.1862999574388
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51506,Betioky Atsimo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,251207.817357302,25.6360666759161
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51507,Ampanihy Ouest,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,551854.284865618,31.1658826941672
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51512,Sakaraha,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,240541.500445127,22.1431925292394
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51520,Toliary-II,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,671645.303539634,55.0258318482413
MG,Madagascar,MG51,Atsimo Andrefana,Region,MG51521,Benenitra,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,59429.3975818157,10.7060705425717
MG,Madagascar,MG52,Androy,Region,MG52513,Beloha,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,207328.15421629,33.6189645234781
MG,Madagascar,MG52,Androy,Region,MG52514,Tsihombe,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,235309.503994942,72.0482253505639
MG,Madagascar,MG52,Androy,Region,MG52516,Ambovombe-Androy,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,820767.50722456,98.130978864725
MG,Madagascar,MG52,Androy,Region,MG52518,Bekily,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,234198.049581051,35.5437926211945
MG,Madagascar,MG53,Anosy,Region,MG53515,Taolagnaro,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,354735.488176942,46.4252700139958
MG,Madagascar,MG53,Anosy,Region,MG53517,Betroka,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,303651.179261208,17.4592444377419
MG,Madagascar,MG53,Anosy,Region,MG53519,Amboasary-Atsimo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,332055.307462931,26.2307692126496
MG,Madagascar,MG54,Menabe,Region,MG54502,Manja,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,95851.9854477644,8.43025377728799
MG,Madagascar,MG54,Menabe,Region,MG54508,Morondava,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,251291.259701967,35.4230701581572
MG,Madagascar,MG54,Menabe,Region,MG54509,Mahabo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,225526.887845755,13.1717607666017
MG,Madagascar,MG54,Menabe,Region,MG54510,Belo Sur Tsiribihina,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,398231.323394656,40.1281059446449
MG,Madagascar,MG54,Menabe,Region,MG54511,Miandrivazo,District,"5",Toliary,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,223376.402459383,14.6457121990154
MG,Madagascar,MG71,Diana,Region,MG71713,Antsiranana II,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,311376.248517692,46.2188286355488
MG,Madagascar,MG71,Diana,Region,MG71715,Antsiranana I,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,46769.5321016312,537.580828754381
MG,Madagascar,MG71,Diana,Region,MG71717,Ambilobe,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,367360.547100306,38.1435517703567
MG,Madagascar,MG71,Diana,Region,MG71718,Nosy-Be,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,168113.112037659,436.657433864049
MG,Madagascar,MG71,Diana,Region,MG71719,Ambanja,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,312303.592450142,43.2254107197428
MG,Madagascar,MG72,Sava,Region,MG72710,Antalaha,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,290237.264348507,35.3000808013266
MG,Madagascar,MG72,Sava,Region,MG72711,Sambava,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,348603.655319214,61.7216103610506
MG,Madagascar,MG72,Sava,Region,MG72712,Andapa,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,242723.038254976,49.5859117987694
MG,Madagascar,MG72,Sava,Region,MG72716,Vohemar,District,"7",Antsiranana,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,416652.845522285,41.9674501936225
